t,cruise,dive,id,version,mode,toa_time,toa_mode,mfd_peak,mfd_power,mfd_ratio,spl,shf_agn,shf_ainpshift,shf_ainshift,shf_mfdshift,shf_p2bshift,rate,src,dest,psk_error,packet_type,nframes,nbad,snr_rss,snr_in,snr_out,snr_symbols,mse,dqf,dop,noise_stdev,carrier_hz,bandwidth_hz,pcm,lon_ship,lat_ship,heading_ship,lat_sentry,lon_sentry,depth_sentry,heading_sentry,alt_sentry,range_horizontal,range_slant,nadir_angle,absolute_bearing,relative_bearing
2024-06-28 21:18:05.915,AT50-26,sentry732,$CACST,6.0,0.0,20240628211802.605,3.0,32767.0,45.0,153.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,6.4,4.0,0.0,-1.0,-1.0,-0.3,72.0,10000.0,2000.0,45,-129.99588684766675,45.95698008791665,229.46702107647877,45.959452108499995,-130.0285118065001,1426.018155016448,1445.21257501312,64.32694995712,2539.7129289316517,2912.6739501391335,60.68631524032599,276.23207493511387,46.7650538586351
2024-06-28 21:19:05.922,AT50-26,sentry732,$CACST,6.0,0.0,20240628211902.61,3.0,32767.0,45.0,152.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,6.3,4.0,0.0,-1.0,-1.0,-0.2,72.0,10000.0,2000.0,46,-129.99587568983335,45.95698593923343,229.4762999936,45.95942852340004,-130.02855725319992,1432.980468000768,1452.43943999744,75.59687999488,2543.7157022692804,2919.5757561061846,60.605636439369114,276.1480287614071,46.67172876780708
2024-06-28 21:20:05.922,AT50-26,sentry732,$CACST,6.0,0.0,20240628212002.61,3.0,32767.0,45.0,161.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,6.5,5.0,0.0,-2.0,-1.0,-0.1,73.0,10000.0,2000.0,40,-129.9958805360335,45.95699477033331,230.02475855262668,45.95941002340004,-130.02859056099993,1433.397234000384,1452.846312000512,78.04,2545.582737144076,2921.4070414931703,60.61648723034126,276.0746515188207,46.04989296619402
2024-06-28 21:21:05.827,AT50-26,sentry732,$CACST,6.0,1.0,20240628212102.613,3.0,32767.0,45.0,128.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,3.0,1.0,1.0,150.0,2.2,3.0,0.0,0.0,-1.0,-0.0,73.0,10000.0,2000.0,69,-129.99585828319988,45.95699941308328,229.13416582867794,45.95939333459999,-130.02862059620006,1433.258194001408,1452.718464002048,77.82421999104,2549.357531155678,2924.6286725552613,60.655145094963935,276.01199429200005,46.87782846332212
2024-06-28 21:22:05.930,AT50-26,sentry732,$CACST,6.0,0.0,20240628212202.613,3.0,32767.0,45.0,127.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,9.8,4.0,0.0,-1.0,-1.0,-1.2,72.0,10000.0,2000.0,4E,-129.9958953706665,45.95698679133326,229.55469469631586,45.959432252999726,-130.02874768899906,1436.301319958528,1455.5761699527682,298.47949998080003,2556.888643776797,2932.6849504147826,60.6754261290681,276.12357475880077,46.56888006248491
2024-06-28 21:23:05.959,AT50-26,sentry732,$CACST,6.0,0.0,20240628212302.645,3.0,32374.0,45.0,176.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,5.2,3.0,0.0,0.0,-1.0,-1.2,73.0,10000.0,2000.0,66,-129.99587696788336,45.95699281256667,229.58735792958035,45.9595481344001,-130.02920239250048,1457.5375270225918,1477.133183021568,291.04327999488004,2594.6054042088185,2975.9692280379413,60.6745990561783,276.3061986803316,46.71884075075124
2024-06-28 21:24:05.984,AT50-26,sentry732,$CACST,6.0,0.0,20240628212402.67,3.0,32767.0,45.0,153.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,6.3,3.0,0.0,0.0,-1.0,-1.3,74.0,10000.0,2000.0,64,-129.99588774413334,45.9569898924,230.00173346394976,45.9596363792,-130.0296523752,1478.950656,1498.911872,288.14919999999995,2629.507835851399,3016.8868891104844,60.64468800687919,276.44496281533134,46.443229351381575
2024-06-28 21:25:06.020,AT50-26,sentry732,$CACST,6.0,0.0,20240628212502.703,3.0,22712.0,43.0,142.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,3.1,3.0,0.0,0.0,-1.0,-0.7,74.0,10000.0,2000.0,63,-129.99588521666666,45.956983899,230.00378378738523,45.959730016,-130.03019711399998,1486.3825199999999,1506.81566,287.0154,2672.8404951783496,3058.334401014185,60.92130353654511,276.5796982219283,46.57591443454308
2024-06-28 21:26:06.021,AT50-26,sentry732,$CACST,6.0,0.0,20240628212602.707,3.0,32767.0,45.0,144.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,5.6,4.0,0.0,-1.0,-1.0,0.4,73.0,10000.0,2000.0,6B,-129.9958771668834,45.956989809183405,230.2150249491573,45.95975420839997,-130.0304113650998,1466.076923021568,1486.13754502272,285.9920999936,2690.1628944188365,3063.716361337048,61.41063165162048,276.58093541821023,46.36591046905292
2024-06-28 21:27:06.028,AT50-26,sentry732,$CACST,6.0,0.0,20240628212702.715,3.0,25214.0,44.0,151.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,3.8,3.0,0.0,0.0,-1.0,-1.5,73.0,10000.0,2000.0,6F,-129.99576594706667,45.957048284466666,229.39876381338604,45.9597988644,-130.030658808,1446.767888,1466.501456,287.6086,2717.5621902293788,3078.681792506702,61.97018495523396,276.4819083692516,47.083144555865545
2024-06-28 21:28:06.052,AT50-26,sentry732,$CACST,6.0,0.0,20240628212802.73,3.0,23068.0,43.0,140.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,4.6,3.0,0.0,0.0,-1.0,-0.5,72.0,10000.0,2000.0,64,-129.99557892233335,45.9571502398,229.83778443468702,45.9598611312,-130.0310038028,1426.329048,1445.772968,285.53051999999997,2757.984413446599,3104.978675930475,62.65364178154545,276.2945389679917,46.45675453330466
2024-06-28 21:29:06.065,AT50-26,sentry732,$CACST,6.0,0.0,20240628212902.742,3.0,19109.0,42.0,132.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,2.8,3.0,0.0,0.0,-1.0,-0.6,72.0,10000.0,2000.0,63,-129.99542621691683,45.95723357908326,230.12669330839998,45.959896745499954,-130.03124415999974,1406.6202900213761,1425.7329150197759,286.2467500032,2787.648732310812,3122.429518028213,63.22493513474684,276.11773976847667,45.99104646007669
2024-06-28 21:30:06.065,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99527725441678,45.95732340049994,229.92655346831341,45.95993393899997,-130.03149095999976,1386.8648750208,1405.720885023744,286.54584999424003,2817.4902791106674,3140.3257242600753,63.79201466688826,275.93319108445434,46.00663761614092
2024-06-28 21:31:06.089,AT50-26,sentry732,$CACST,6.0,0.0,20240628213102.77,3.0,15485.0,41.0,134.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,3.2,3.0,0.0,0.0,-1.0,-0.7,71.0,10000.0,2000.0,6E,-129.99510664085014,45.95740882974992,229.64591183956242,45.959970880099945,-130.0317465004997,1367.04352002048,1385.526923018752,289.77266999808,2849.746744134433,3160.674689260947,64.3726388466167,275.75701652439693,46.111104684834515
2024-06-28 21:32:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99495799215006,45.957494172683276,229.68739256761302,45.96007444919982,-130.03216168369914,1348.095844013056,1366.331347017728,285.38533999616,2893.359907148106,3192.0046924992716,65.0178954535819,275.71073037460616,46.02333780699314
2024-06-28 21:33:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99480532916692,45.9575844165001,229.7358549090551,45.96021431359985,-130.03301507269907,1348.650606995968,1366.658438990336,283.89063002112,2971.3733460566536,3263.1147729441736,65.58759343279762,275.6680551471234,45.93220023806833
2024-06-28 21:34:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.9946254632003,45.95761525026672,229.34474475853486,45.96035804029982,-130.03388539939905,1350.976292997632,1369.108517996032,284.60754000896003,3053.485337890237,3338.9983008309964,66.1336066054174,275.75285589982536,46.408111141290505
2024-06-28 21:35:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99440637253358,45.95761674973328,230.38732000768,45.960501740299826,-130.03475618159908,1352.65133499904,1370.788957998592,285.05292997632,3138.991188540987,3418.0303269299184,66.68786579623105,275.88680920866557,45.49948920098558
2024-06-28 21:36:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99421557455037,45.957612381666564,230.33685999872,45.960652122499845,-130.03562423709909,1356.092548990976,1374.2288369914882,285.19911000063996,3222.272040950809,3496.001159513843,67.17621781072488,276.0428332299606,45.70597323124059
2024-06-28 21:37:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99413681804984,45.95755769711662,230.3375249548934,45.96085461149978,-130.03643122819912,1356.632538996736,1374.7975019924481,289.21733000192,3293.508337189332,3561.9726294569373,67.61269506282486,276.4132225821036,46.07569762721016
2024-06-28 21:38:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99407228463323,45.95750139538344,230.05622000128,45.9610414669998,-130.0372725548991,1357.331098994176,1375.506721993728,287.14088999936,3366.239164143721,3629.5886574805904,68.03977860349895,276.7384467329226,46.68222673164263
2024-06-28 21:39:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.9940084897168,45.95747136475004,229.16725451578301,45.9612238669998,-130.0381141281991,1359.6639159971842,1377.9105809981438,287.34644000256003,3438.617844385566,3697.672057415535,68.42566170666932,276.99343357498975,47.82617905920674
2024-06-28 21:40:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.9939866561832,45.95744022348346,230.15279998463998,45.961396449199825,-130.03893209259914,1360.862360996864,1379.1362039976962,286.86533999616,3505.906020980703,3760.7610125514097,68.7856391630844,277.2326020196623,47.07980203502231
2024-06-28 21:41:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.9940631274,45.9574612243005,229.1624275757796,45.9615653758998,-130.0397275213992,1362.972946992128,1381.266386994688,289.70360996864,3563.177156407974,3814.960904410427,69.06733828385212,277.38318159223655,48.220754016456965
2024-06-28 21:42:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.994304197416,45.957277676466994,230.79240963855423,45.96173434029983,-130.04050825699917,1363.506932000768,1381.867634006016,287.11533999616,3609.7828274086087,3858.7152285013512,69.30717178809438,277.9161029381706,47.12369329961635
2024-06-28 21:43:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99441315515,45.95725609449996,227.4923933786761,45.961897040299824,-130.0412743213992,1365.411763995136,1383.734025997824,287.32203997696,3662.9899434449067,3909.199996295256,69.55661703146424,278.12486753694304,50.632474158266945
2024-06-28 21:44:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99455688531637,45.95713894746664,220.88931863992707,45.96206143139983,-130.0420270124992,1368.39411999488,1386.748098994176,287.1544499968,3714.1423804370716,3958.20111790638,69.77478912202595,278.50120201380514,57.61188337387807
2024-06-28 21:45:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99448875793325,45.95721088376663,219.39427423107753,45.96222363139983,-130.0427719124992,1372.965475994624,1391.373386994688,288.40644000256003,3777.845066757618,4019.5954456509694,70.02756154310474,278.5114567963508,59.117182565273254
2024-06-28 21:46:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99465798008308,45.957346762150266,218.52307386035275,45.96238033139983,-130.0435075946992,1379.7905229931519,1398.2682819911681,287.52466000384,3821.534693108455,4062.997575432854,70.1475459899693,278.448975790688,59.92590193033524
2024-06-28 21:47:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.9949144819164,45.95739983675016,219.14295931913665,45.96252410469985,-130.0442595213992,1380.9381569991679,1399.566733000192,284.69822000128,3860.9349992308344,4100.4645178006185,70.31942641113656,278.51395967199477,59.37100035285812
2024-06-28 21:48:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99510088619982,45.95737930166676,220.17863136186094,45.962667704699854,-130.0450111213992,1381.135733000192,1399.7451100006401,284.83644000256,3906.9051531996815,4143.844083585699,70.53091505491129,278.68442034702133,58.50578898516039
2024-06-28 21:49:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99525376291666,45.957226852100064,220.84128,45.96280980469985,-130.0457610124992,1381.756826997248,1400.336957998592,284.26665000959997,3957.600486708459,4191.879476004592,70.75386004419747,279.05313308387394,58.21185308387393
2024-06-28 21:50:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.9953329169998,45.95717718419993,219.99125748646802,45.96295769579986,-130.04650038579922,1384.986480991744,1403.57101499136,284.3333000192,4011.5310718127857,4243.886083844539,70.9526976145465,279.24899696628785,59.25773947981983
2024-06-28 21:51:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99540345879984,45.957125665633505,222.94377377289138,45.963100295799855,-130.04724543029917,1386.6146600038398,1405.362037004288,282.46911000064,4066.535109419098,4296.441319449826,71.17155538308462,279.4318006978101,56.48802692491873
2024-06-28 21:52:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99556566568305,45.9570317909503,226.61493013270353,45.96323590469985,-130.0480006124992,1384.40422000128,1403.03855500032,283.62800999424,4116.019113698863,4342.601569185426,71.40986938333289,279.67836405707135,53.063433924367814
2024-06-28 21:53:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.9958173512999,45.95692277611699,226.67991999999998,45.963386613599845,-130.0487462035992,1383.039978999296,1401.650377000448,284.51266999808,4158.606391295668,4382.557096175195,71.60427040161301,279.9828840562057,53.302964056205724
2024-06-28 21:54:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99604491401627,45.956946364750046,226.24733067219123,45.963533004699855,-130.0494852035992,1386.180522993152,1404.843726990848,283.64309001216003,4199.951156344788,4422.79167020192,71.73469095172037,280.07334062389515,53.826009951703924
2024-06-28 21:55:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99619086124994,45.95712511898286,226.88984002048,45.96367751359985,-130.0502216946992,1390.969208994816,1409.63389499648,284.52021000703996,4244.287021442342,4466.404332430682,71.8546116680449,279.9152094226472,53.0253694021672
2024-06-28 21:56:06.089,AT50-26,sentry732,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,-129.99623682575012,45.95728497311657,228.32663667272797,45.96383122249984,-130.05094545909924,1394.206805996544,1412.93111999488,284.97377000448,4295.8393006312635,4516.419811613529,72.0192560004791,279.7862669573006,51.459630284572626
